word,source_lists,cefr_level,frequency_rank,pos,en_definition,ja_translation
the,NGSL|NGSL-Spoken|CEFR-J,A1,1,article,used to point to something already mentioned,その
be,NGSL|NGSL-Spoken|CEFR-J,A1,2,verb,used to show the identity of a thing,である
and,NGSL|NGSL-Spoken|CEFR-J,A1,3,conjunction,used to join words or groups of words,～と
of,NGSL|NGSL-Spoken|CEFR-J,A1,4,preposition,belonging to or connected with something,の
to,NGSL|NGSL-Spoken|CEFR-J,A1,5,preposition,used to indicate place or direction,～へ
in,NGSL|NGSL-Spoken|CEFR-J,A2,7,preposition,used to indicate being inside of or surrounded by something else,～の中
have,NGSL|NGSL-Spoken|CEFR-J,A1,8,verb,"to own, possess, or hold something",持つ
it,NGSL|NGSL-Spoken|CEFR-J,A2,9,pronoun,a thing that has been previously mentioned,それ
you,NGSL|NGSL-Spoken|CEFR-J,A1,10,pronoun,used to refer to the person the speaker is addressing,あなた
he,NGSL|NGSL-Spoken|CEFR-J,A1,11,pronoun,used to refer to a male person that is the subject,彼
for,NGSL|NGSL-Spoken|CEFR-J,A2,12,preposition,indicating the purpose or need of something,～のため
they,NGSL|NGSL-Spoken|CEFR-J,A1,13,pronoun,"used to refer to two or more people, animals, or things",彼ら
not,NGSL|NGSL-Spoken|CEFR-J,A1,14,adverb,used to make an expression negative,～でない
that,NGSL|NGSL-Spoken|CEFR-J,B2,15,adjective,"used to identify a specific person, thing, fact or idea",あの
we,NGSL|NGSL-Spoken|CEFR-J,A1,16,pronoun,used to refer to the speaker and another person as the subject,私たち
on,NGSL|NGSL-Spoken|CEFR-J,A2,17,preposition,touching and being supported or physically in contact by something,～に接して
with,NGSL|NGSL-Spoken|CEFR-J,A1,18,preposition,used to express that people or things are together,～と一緒
this,NGSL|NGSL-Spoken|CEFR-J,A1,19,adjective,"used to identify a specific person, thing, or idea that is close",この
do,NGSL|NGSL-Spoken|CEFR-J,A1,21,verb,to perform an action or activity; to work on something,する
as,NGSL|NGSL-Spoken|CEFR-J,A2,22,conjunction,used to refer to the same degree or amount,～のように
at,NGSL|NGSL-Spoken|CEFR-J,A1,23,preposition,"used to indicate place, location, or arrival",～で
she,NGSL|NGSL-Spoken|CEFR-J,A1,24,pronoun,used to refer to a female that is the subject,彼女
but,NGSL|NGSL-Spoken|CEFR-J,A1,25,conjunction,used to contrast a statement with a to previous one,でも
from,NGSL|NGSL-Spoken|CEFR-J,A1,26,preposition,indicating the starting point of motion or action ,～から
by,NGSL|NGSL-Spoken|CEFR-J,A1,27,preposition,"close to or next to, up to and beyond, beside a place",の近くに
will,NGSL|NGSL-Spoken|CEFR-J,A1,28,verb,"expressing the future, to say something is expected to happen",～だろう
or,NGSL|NGSL-Spoken|CEFR-J,A1,29,conjunction,"used to link alternatives, to introduce another choice",～か
say,NGSL|NGSL-Spoken|CEFR-J,B2,30,verb,to use your voice to express something with words,言う
go,NGSL|NGSL-Spoken|CEFR-J,B1,31,verb,to move or travel from one place to another,行く
so,NGSL|NGSL-Spoken|CEFR-J,A2,32,adverb,to a  degree that is suggested or stated,とても
all,NGSL|NGSL-Spoken|CEFR-J,A2,33,determiner,"the whole, entire or total amount",全て
if,NGSL|NGSL-Spoken|CEFR-J,A1,34,conjunction,introducing a condition for something to happen,もし
one,NGSL|NGSL-Spoken|CEFR-J,A1,35,noun,"the number 1, a single person or thing",1、ひとり、ひとつ
would,NGSL|NGSL-Spoken|CEFR-J,A1,36,verb,indicating someone thinking about what will happen,～だろう
